Stationsnavn;Operatør;Jan;Feb;Mar;Apr;Maj;Jun;Jul;Aug;Sep;Okt;Nov;Dec;Total
Aalborg Havn;DSB FR;;;;;;;;;;;;;0
Aalborg Lufthavn;DSB FR;308;250;290;314;333;345;375;407;385;402;367;290;4.066
Aalborg Lufthavn;Nordjyske Jernbaner;744;609;826;756;1.003;1.119;1.072;1.137;1.152;1.078;898;806;11.200
Aalborg Vestby;DSB FR;2.698;2.357;2.594;2.537;2.701;2.749;2.501;2.955;2.812;2.585;2.664;2.586;31.739
Aalborg Vestby;Nordjyske Jernbaner;10.914;10.085;12.452;11.541;12.894;12.058;9.475;12.308;13.584;11.426;12.744;11.162;140.643
Ålbæk;Nordjyske Jernbaner;3.226;3.372;3.744;4.083;4.453;4.900;6.064;5.402;4.541;4.221;4.228;3.353;51.587
Ålsgårde;Lokaltog;6.389;5.934;6.839;6.972;7.417;8.375;6.753;7.153;7.071;6.720;6.810;6.311;82.744
Aarhus H;Arriva;65.266;65.642;73.056;71.199;76.999;78.654;66.116;81.513;88.828;80.212;82.997;75.549;906.031
Aarhus H;DSB FR;209.066;174.898;185.292;187.649;187.958;174.071;168.510;214.197;196.804;221.546;203.145;169.468;2.292.604
Årslev;Arriva;6.305;6.139;7.116;6.057;6.419;7.112;4.483;6.850;7.442;6.620;7.243;5.986;77.772
Årslev;DSB FR;;;;;;;;;;;;;0
Aarup;DSB FR;4.725;4.655;4.533;4.686;4.558;4.190;3.014;5.494;4.955;5.103;4.814;4.212;54.939
